Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
4/5/25,24897.00,1586.00,93.80,23217.20,4240.94,18976.26,81.73%,0.00
4/4/25,20410.00,0.00,44.00,20366.00,3964.04,16401.96,80.54%,0.00
4/3/25,23600.00,1217.00,123.80,22259.20,4648.11,17611.09,79.12%,0.00
4/2/25,24732.00,0.00,184.70,24547.30,5028.19,19519.11,79.52%,0.00
4/1/25,23669.00,646.00,0.00,23023.00,4894.79,18128.21,78.74%,0.00
3/31/25,30565.00,0.00,22.00,30543.00,6958.69,23584.31,77.22%,0.00
3/30/25,22665.00,319.00,41.00,22305.00,4086.30,18218.70,81.68%,0.00
3/29/25,24959.00,0.00,61.90,24897.10,5757.68,19139.42,76.87%,0.00
3/28/25,25702.00,0.00,0.00,25702.00,3771.38,21930.62,85.33%,0.00
3/27/25,26166.00,0.00,87.00,26079.00,5789.88,20289.12,77.80%,0.00
3/26/25,25921.00,0.00,0.00,25921.00,5592.44,20328.56,78.43%,0.00
3/25/25,34222.00,140.00,0.00,34082.00,6899.62,27182.38,79.76%,0.00
3/24/25,26961.00,0.00,29.90,26931.10,5718.30,21212.80,78.77%,0.00
3/23/25,29113.00,0.00,0.00,29113.00,4908.12,24204.88,83.14%,0.00
3/22/25,27131.00,990.00,89.00,26052.00,5887.60,20164.40,77.40%,0.00
3/21/25,16688.00,0.00,50.00,16638.00,2791.00,13847.00,83.23%,0.00
3/20/25,34749.00,0.00,0.00,34749.00,7486.86,27262.14,78.45%,0.00
3/19/25,28415.00,0.00,0.00,28415.00,6219.01,22195.99,78.11%,0.00
3/18/25,31428.00,977.00,0.00,30451.00,5813.25,24637.75,80.91%,0.00
3/17/25,41101.00,3304.00,18.00,37779.00,8510.94,29268.06,77.47%,0.00
3/16/25,38601.00,1439.00,100.90,37061.10,7704.64,29356.46,79.21%,0.00
3/15/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/14/25,29644.00,0.00,41.00,29603.00,5015.48,24587.52,83.06%,0.00
3/13/25,27799.00,708.00,0.00,27091.00,6077.97,21013.03,77.56%,0.00
3/12/25,36199.00,438.00,65.70,35695.30,7407.61,28287.69,79.25%,0.00
3/11/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/10/25,28220.00,0.00,129.00,28091.00,4466.16,23624.84,84.10%,0.00
3/9/25,39878.00,220.00,11.90,39646.10,9615.81,30030.29,75.75%,0.00
3/8/25,28785.00,658.00,29.90,28097.10,5815.57,22281.53,79.30%,0.00
3/7/25,27577.00,0.00,59.90,27517.10,6876.46,20640.64,75.01%,0.00
3/6/25,19740.00,0.00,0.00,19740.00,4017.87,15722.13,79.65%,0.00
3/5/25,26901.00,0.00,0.00,26901.00,6219.40,20681.60,76.88%,0.00
3/4/25,21620.00,587.00,0.00,21033.00,3805.14,17227.86,81.91%,0.00
